No,ID Kecamatan,Kecamatan,Tahun,Jenjang,Jumlah Penduduk Usia Sekolah,Jumlah Siswa Usia Sekolah,Total Siswa,APK (%),APM (%),Jumlah Guru S1/D4,Total Guru,Persentase Guru S1,Jumlah Sekolah Terakreditasi,Jumlah Sekolah,Persentase Sekolah Terakreditasi
1,1,Donomulyo,2020,PAUD,1634,1383,1429,87.45,84.64,76,102,74.51,23,46,50
2,2,Pagak,2020,PAUD,1412,1136,1056,74.79,80.45,46,75,61.33,6,32,18.75
3,3,Bantur,2020,PAUD,2068,1994,1994,96.42,96.42,70,96,72.92,1,33,03.03
4,4,Sumbermanjing Wetan,2020,PAUD,1753,2541,2590,147.75,144.95,59,104,56.73,38,59,64.41
5,5,Dampit,2020,PAUD,3871,3253,3253,84.04,84.04,167,180,92.78,13,82,15.85
6,6,Ampelgading,2020,PAUD,1728,1505,1505,87.09,87.09,56,84,66.67,5,57,8.77
7,7,Poncokusumo,2020,PAUD,2727,2475,3042,111.55,90.76,74,146,50.68,19,57,33.33
8,8,Wajak,2020,PAUD,2588,2663,2693,104.06,102.9,48,82,58.54,1,36,2.78
9,9,Turen,2020,PAUD,3665,3912,4060,110.78,106.74,180,201,89.55,23,71,32.39
10,10,Gondanglegi,2020,PAUD,2838,2840,3120,109.94,100.07,156,188,82.98,17,51,33.33
11,11,Kalipare,2020,PAUD,1763,1717,1717,97.39,97.39,85,99,85.86,4,38,10.53
12,12,Sumberpucung,2020,PAUD,2970,2770,1625,54.71,93.27,120,138,86.96,8,44,18.18
13,13,Kepanjen,2020,PAUD,3538,3087,3928,111.02,87.25,253,294,86.05,22,88,25
14,14,Bululawang,2020,PAUD,2236,2141,2469,110.42,95.75,120,159,75.47,26,47,55.32
15,15,Tajinan,2020,PAUD,1717,1597,1597,93.01,93.01,68,84,80.95,1,33,03.03
16,16,Tumpang,2020,PAUD,2229,2299,2299,103.14,103.14,115,161,71.43,10,44,22.73
17,17,Jabung,2020,PAUD,2439,2170,2357,96.64,88.97,88,124,70.97,8,51,15.69
18,18,Pakis,2020,PAUD,6094,4895,4073,66.84,80.32,207,248,83.47,35,93,37.63
19,19,Pakisaji,2020,PAUD,3169,2743,2955,93.25,86.56,127,170,74.71,3,61,4.92
20,20,Ngajum,2020,PAUD,1567,1545,1545,98.6,98.6,47,82,57.32,24,41,58.54
21,21,Wagir,2020,PAUD,3075,2575,1842,59.9,83.74,80,140,57.14,8,52,15.38
22,22,Dau,2020,PAUD,2334,1934,1773,75.96,82.86,95,95,100,22,40,55
23,23,Karangploso,2020,PAUD,2970,2210,2335,78.62,74.41,113,126,89.68,15,43,34.88
24,24,Singosari,2020,PAUD,6206,5094,5022,80.92,82.08,279,323,86.38,7,97,7.22
25,25,Lawang,2020,PAUD,3684,3343,3514,95.39,90.74,218,265,82.26,3,79,3.8
26,26,Pujon,2020,PAUD,2341,2137,2207,94.28,91.29,67,100,67,28,37,75.68
27,27,Ngantang,2020,PAUD,1745,1565,1565,89.68,89.68,24,72,33.33,1,41,2.44
28,28,Kasembon,2020,PAUD,1026,922,1030,100.39,89.86,41,58,70.69,7,36,19.44
29,29,Gedangan,2020,PAUD,1635,1389,1389,84.95,84.95,39,48,81.25,6,28,21.43
30,30,Tirtoyudo,2020,PAUD,2034,1741,2194,107.87,85.59,84,121,69.42,4,67,5.97
31,31,Kromengan,2020,PAUD,1106,928,928,83.91,83.91,66,100,66,26,36,72.22
32,32,Wonosari,2020,PAUD,1266,1019,1019,80.49,80.49,44,68,64.71,6,28,21.43
33,33,Pagelaran,2020,PAUD,2244,1941,2000,89.13,86.5,79,104,75.96,5,35,14.29
34,1,Donomulyo,2021,PAUD,1766,1484,633,93.54,84.03,86,177,48.59,23,56,41.07
35,2,Pagak,2021,PAUD,1494,1095,985,68.07,73.29,46,109,42.2,13,35,37.14
36,3,Bantur,2021,PAUD,2218,2009,957,64.16,90.58,55,119,46.22,17,33,51.52
37,4,Sumbermanjing Wetan,2021,PAUD,2904,2429,1556,78.03,83.64,67,164,40.85,24,59,40.68
38,5,Dampit,2021,PAUD,3404,3183,812,101.38,93.51,150,264,56.82,25,85,29.41
39,6,Ampelgading,2021,PAUD,1614,1339,714,92.38,82.96,64,136,47.06,19,57,33.33
40,7,Poncokusumo,2021,PAUD,2814,2712,665,84.33,96.38,78,191,40.84,17,57,29.82
41,8,Wajak,2021,PAUD,2618,2528,1365,65.81,96.56,45,124,36.29,19,36,52.78
42,9,Turen,2021,PAUD,3670,3327,1034,95.29,90.65,166,278,59.71,41,71,57.75
43,10,Gondanglegi,2021,PAUD,2752,2804,715,82.74,101.89,143,239,59.83,20,52,38.46
44,11,Kalipare,2021,PAUD,1814,1568,1074,83.3,86.44,77,144,53.47,20,39,51.28
45,12,Sumberpucung,2021,PAUD,1600,1303,434,112.75,81.44,111,180,61.67,32,44,72.73
46,13,Kepanjen,2021,PAUD,874,3018,1458,445.54,345.31,242,369,65.58,34,89,38.2
47,14,Bululawang,2021,PAUD,2176,2023,409,103.22,92.97,116,207,56.04,27,47,57.45
48,15,Tajinan,2021,PAUD,1720,1624,1388,82.03,94.42,65,114,57.02,15,33,45.45
49,16,Tumpang,2021,PAUD,2337,2009,750,85.62,85.96,118,194,60.82,24,44,54.55
50,17,Jabung,2021,PAUD,2396,2133,664,96.91,89.02,89,189,47.09,21,54,38.89
51,18,Pakis,2021,PAUD,4647,3545,551,84.36,76.29,185,347,53.31,34,95,35.79
52,19,Pakisaji,2021,PAUD,2740,2519,894,92.08,91.93,125,236,52.97,23,62,37.1
53,20,Ngajum,2021,PAUD,1556,1512,1692,91.65,97.17,53,130,40.77,25,41,60.98
54,21,Wagir,2021,PAUD,2645,1929,1209,84.27,72.93,70,182,38.46,23,52,44.23
55,22,Dau,2021,PAUD,1916,1624,1333,79.7,84.76,116,160,72.5,21,42,50
56,23,Karangploso,2021,PAUD,2464,2202,1037,76.5,89.37,102,161,63.35,26,44,59.09
57,24,Singosari,2021,PAUD,5472,4365,2097,77.63,79.77,250,413,60.53,26,97,26.8
58,25,Lawang,2021,PAUD,3234,2928,1170,102.66,90.54,198,336,58.93,33,79,41.77
59,26,Pujon,2021,PAUD,2118,2082,627,62.46,98.3,56,146,38.36,10,37,27.03
60,27,Ngantang,2021,PAUD,1583,1402,757,71.19,88.57,28,108,25.93,7,41,17.07
61,28,Kasembon,2021,PAUD,874,887,864,105.61,101.49,33,108,30.56,2,37,5.41
62,29,Gedangan,2021,PAUD,1677,1369,931,81.87,81.63,36,74,48.65,20,28,71.43
63,30,Tirtoyudo,2021,PAUD,1939,1750,1575,122.9,90.25,77,180,42.78,14,68,20.59
64,31,Kromengan,2021,PAUD,1134,834,914,115.26,73.54,68,145,46.9,26,40,65
65,32,Wonosari,2021,PAUD,1210,1008,1177,79.09,83.31,53,93,56.99,13,29,44.83
66,33,Pagelaran,2021,PAUD,2292,1860,511,72.12,81.15,72,141,51.06,18,35,51.43
67,1,Donomulyo,2022,PAUD,1766,1071,1572,92.07,92.07,85,175,48.57,29,56,51.79
68,2,Pagak,2022,PAUD,1494,772,990,74.89,74.89,45,104,43.27,15,32,46.88
69,3,Bantur,2022,PAUD,2218,957,1354,66.63,66.63,58,108,53.7,21,35,63.64
70,4,Sumbermanjing Wetan,2022,PAUD,2904,1818,2213,54.03,54.03,70,158,44.3,29,61,47.54
71,5,Dampit,2022,PAUD,3404,2575,3405,101.39,101.39,158,251,62.95,36,85,42.35
72,6,Ampelgading,2022,PAUD,1614,1069,1419,113.23,113.23,63,125,50.4,25,55,45.45
73,7,Poncokusumo,2022,PAUD,2814,1269,2416,77.43,77.43,82,180,45.56,23,57,39.66
74,8,Wajak,2022,PAUD,2618,1292,1661,67.01,67.01,48,122,39.34,23,39,62.16
75,9,Turen,2022,PAUD,3670,2661,3395,94.87,94.87,168,267,62.92,51,73,71.83
76,10,Gondanglegi,2022,PAUD,2752,1431,2174,80.37,80.37,142,233,60.94,24,54,44.44
77,11,Kalipare,2022,PAUD,1814,1196,1421,91.79,91.79,79,138,57.25,20,40,51.28
78,12,Sumberpucung,2022,PAUD,1600,1219,1728,115.4,115.4,114,158,72.15,41,43,95.35
79,13,Kepanjen,2022,PAUD,874,2618,3756,118.01,118.01,238,313,76.04,47,88,53.41
80,14,Bululawang,2022,PAUD,2176,1546,2156,104.38,104.38,109,183,59.56,33,47,70.21
81,15,Tajinan,2022,PAUD,1720,1104,1356,89.25,89.25,65,111,58.56,23,34,71.88
82,16,Tumpang,2022,PAUD,2337,1654,1954,86.64,86.64,119,178,66.85,24,46,52.17
83,17,Jabung,2022,PAUD,2396,1722,2252,106.53,106.53,91,188,48.4,25,57,45.45
84,18,Pakis,2022,PAUD,4647,3186,4105,98.12,98.12,183,316,57.91,65,98,69.15
85,19,Pakisaji,2022,PAUD,2740,1754,2530,98.33,98.33,130,221,58.82,29,62,46.77
86,20,Ngajum,2022,PAUD,1556,841,1363,88.56,88.56,54,130,41.54,35,44,83.33
87,21,Wagir,2022,PAUD,2645,1772,2113,88.34,88.34,71,171,41.52,29,52,55.77
88,22,Dau,2022,PAUD,1916,956,1463,79.67,79.67,116,150,77.33,30,43,69.77
89,23,Karangploso,2022,PAUD,2464,1311,1770,78.37,78.37,101,149,67.79,30,48,68.18
90,24,Singosari,2022,PAUD,5472,3795,4620,92.33,92.33,255,397,64.23,33,96,34.38
91,25,Lawang,2022,PAUD,3234,2728,3299,114.62,114.62,206,309,66.67,38,79,48.72
92,26,Pujon,2022,PAUD,2118,912,1266,66.87,66.87,56,142,39.44,33,37,89.19
93,27,Ngantang,2022,PAUD,1583,823,1103,80.84,80.84,29,108,26.85,10,43,23.26
94,28,Kasembon,2022,PAUD,874,385,862,86.74,86.74,37,103,35.92,6,37,16.22
95,29,Gedangan,2022,PAUD,1677,752,1287,71.35,71.35,35,76,46.05,25,28,89.29
96,30,Tirtoyudo,2022,PAUD,1939,1304,2321,112.31,112.31,75,176,42.61,23,68,33.82
97,31,Kromengan,2022,PAUD,1134,879,1239,113.71,113.71,71,133,53.38,33,40,82.5
98,32,Wonosari,2022,PAUD,1210,792,920,88.84,88.84,55,91,60.44,22,28,78.57
99,33,Pagelaran,2022,PAUD,2292,1170,1612,77.17,77.17,74,131,56.49,23,36,65.71
100,1,Donomulyo,2023,PAUD,1766,1030,1516,85.84,91.6,86,181,47.51,46,55,83.64
101,2,Pagak,2023,PAUD,1494,789,911,60.98,79.78,49,104,47.12,27,32,84.38
102,3,Bantur,2023,PAUD,2218,896,1281,57.75,86.13,60,120,50,30,35,85.71
103,4,Sumbermanjing Wetan,2023,PAUD,2904,1893,2353,81.03,83.5,76,164,46.34,47,61,77.05
104,5,Dampit,2023,PAUD,3404,2418,3244,95.3,88.77,159,263,60.46,54,87,62.07
105,6,Ampelgading,2023,PAUD,1614,1076,1632,101.12,102.62,65,124,52.42,40,54,74.07
106,7,Poncokusumo,2023,PAUD,2814,1412,2490,88.49,108.3,89,183,48.63,48,58,82.76
107,8,Wajak,2023,PAUD,2618,1293,1838,70.21,67.01,50,125,40,30,40,75
108,9,Turen,2023,PAUD,3670,2640,3400,92.64,93,175,288,60.76,62,74,83.78
109,10,Gondanglegi,2023,PAUD,2752,1461,2169,78.82,102.09,151,236,63.98,28,55,50.91
110,11,Kalipare,2023,PAUD,1814,1260,1508,83.13,85.78,80,142,56.34,35,40,87.5
111,12,Sumberpucung,2023,PAUD,1600,1296,1741,108.81,103.26,120,177,67.8,42,43,97.67
112,13,Kepanjen,2023,PAUD,874,2853,3833,438.56,108.81,251,361,69.53,82,87,95.25
113,14,Bululawang,2023,PAUD,2176,1770,2339,107.49,105.29,118,198,59.6,41,48,85.42
114,15,Tajinan,2023,PAUD,1720,1146,1332,77.44,92.11,62,120,51.67,30,35,85.71
115,16,Tumpang,2023,PAUD,2337,1640,2052,87.8,87.69,123,189,65.08,40,48,83.33
116,17,Jabung,2023,PAUD,2396,1770,2280,95.16,94.82,94,200,47,39,57,68.42
117,18,Pakis,2023,PAUD,4647,3377,4310,92.75,80.98,194,348,55.75,90,98,91.84
118,19,Pakisaji,2023,PAUD,2740,1833,2565,93.61,105.04,141,231,61.04,62,62,100
119,20,Ngajum,2023,PAUD,1556,840,1366,87.79,113.25,55,131,41.98,37,45,82.22
120,21,Wagir,2023,PAUD,2645,1831,2251,85.1,77.1,73,176,41.48,47,50,94
121,22,Dau,2023,PAUD,1916,1037,1586,82.78,100.55,112,160,70,41,42,97.62
122,23,Karangploso,2023,PAUD,2464,1433,2211,89.73,104.36,112,180,62.22,32,49,65.31
123,24,Singosari,2023,PAUD,5472,4115,4924,89.99,81.07,263,418,62.92,67,95,70.53
124,25,Lawang,2023,PAUD,3234,3029,3691,114.13,100.93,205,325,63.08,49,79,62.03
125,26,Pujon,2023,PAUD,2118,857,1208,57.03,96.62,63,144,43.75,36,37,97.3
126,27,Ngantang,2023,PAUD,1583,883,1070,67.59,91.25,31,108,28.7,34,43,79.07
127,28,Kasembon,2023,PAUD,874,358,866,99.08,137.57,42,100,42,23,37,62.16
128,29,Gedangan,2023,PAUD,1677,818,1468,87.54,100.25,38,82,46.34,27,29,93.1
129,30,Tirtoyudo,2023,PAUD,1939,1272,2604,134.3,128.17,77,181,42.54,60,68,88.24
130,31,Kromengan,2023,PAUD,1134,902,1334,117.64,101.73,75,141,58.95,36,40,90
131,32,Wonosari,2023,PAUD,1210,771,942,77.85,87.15,56,95,58.95,25,29,86.21
132,33,Pagelaran,2023,PAUD,2292,1413,1703,74.3,90.73,77,143,53.85,28,39,71.79
133,1,Donomulyo,2024,PAUD,1804,897,1574,117.29,79.8,46,118,39,46,55,84
134,2,Pagak,2024,PAUD,1386,685,1008,105.41,82.1,31,68,46,27,32,84
135,3,Bantur,2024,PAUD,2082,718,1237,115.85,90.9,38,89,43,30,34,88
136,4,Sumbermanjing Wetan,2024,PAUD,3069,1593,2320,97.56,73.9,43,107,40,47,61,77
137,5,Dampit,2024,PAUD,3713,1987,3352,112.82,76.1,89,172,52,54,86,63
138,6,Ampelgading,2024,PAUD,1597,948,1711,131.75,84,25,61,41,40,54,74
139,7,Poncokusumo,2024,PAUD,2641,1098,2648,152.37,93.7,58,125,46,48,58,83
140,8,Wajak,2024,PAUD,2482,1118,2037,140.05,103,29,84,35,30,41,73
141,9,Turen,2024,PAUD,3756,2362,3658,121.51,87,120,197,61,62,74,84
142,10,Gondanglegi,2024,PAUD,2673,1269,2346,142.76,102.5,105,171,61,28,55,51
143,11,Kalipare,2024,PAUD,1872,1081,1534,101.98,77.8,46,96,48,35,40,88
144,12,Sumberpucung,2024,PAUD,1727,1080,1740,114.48,76.3,73,111,66,42,43,98
145,13,Kepanjen,2024,PAUD,3725,2337,4026,127.46,82.1,169,243,70,82,87,94
146,14,Bululawang,2024,PAUD,2125,1528,2411,140.75,99.2,75,129,58,41,48,85
147,15,Tajinan,2024,PAUD,1597,1000,1543,130.31,96.3,36,81,44,30,36,83
148,16,Tumpang,2024,PAUD,2119,1420,2114,126.29,93.5,82,137,60,40,48,83
149,17,Jabung,2024,PAUD,2062,1598,2429,146.75,106.5,51,121,42,39,57,68
150,18,Pakis,2024,PAUD,4624,3043,4489,109.15,77.9,106,224,47,91,101,90
151,19,Pakisaji,2024,PAUD,2755,1606,2751,137.68,96.1,92,157,59,62,62,100
152,20,Ngajum,2024,PAUD,1655,719,1441,136.44,92.8,38,89,43,37,45,82
153,21,Wagir,2024,PAUD,2493,1652,2411,108.5,78.1,29,115,25,47,50,94
154,22,Dau,2024,PAUD,2075,946,1702,118.65,82.2,73,112,65,41,42,98
155,23,Karangploso,2024,PAUD,2616,1447,2492,133.79,93.8,71,118,60,32,49,65
156,24,Singosari,2024,PAUD,5516,3580,5008,106.44,80.5,172,302,57,67,95,71
157,25,Lawang,2024,PAUD,3442,2647,3864,122.11,86.8,145,240,60,49,79,62
158,26,Pujon,2024,PAUD,2261,709,1263,112.65,88.1,45,104,43,36,36,100
159,27,Ngantang,2024,PAUD,1787,726,1206,100.95,74.1,11,63,17,34,44,77
160,28,Kasembon,2024,PAUD,1024,264,809,135.84,82.6,20,52,38,23,38,61
161,29,Gedangan,2024,PAUD,1476,909,1657,160.91,110.2,24,49,49,27,29,93
162,30,Tirtoyudo,2024,PAUD,1976,1023,2799,168.17,78.3,34,108,31,60,68,88
163,31,Kromengan,2024,PAUD,1177,761,1274,108.24,64.7,44,93,47,36,40,90
164,32,Wonosari,2024,PAUD,1310,701,1008,95.73,72.3,35,69,51,25,30,83
165,33,Pagelaran,2024,PAUD,2161,1214,1873,122.26,91.8,66,102,65,28,39,72
166,1,Donomulyo,2020,SD,5239,5357,5359,102.29,102.25,316,340,92.94,45,45,100
167,2,Pagak,2020,SD,4403,4571,4572,103.84,103.82,237,256,92.58,30,30,100
168,3,Bantur,2020,SD,6287,6809,6810,108.32,108.3,300,310,96.77,36,36,100
169,4,Sumbermanjing Wetan,2020,SD,5479,9653,9654,176.2,176.18,406,434,93.55,51,51,100
170,5,Dampit,2020,SD,11499,11295,11499,100,98.23,421,450,93.56,50,50,100
171,6,Ampelgading,2020,SD,5309,5417,5419,102.07,102.03,250,262,95.42,30,30,100
172,7,Poncokusumo,2020,SD,8837,8847,8849,100.13,100.11,300,324,92.59,41,41,100
173,8,Wajak,2020,SD,7812,8334,8335,106.69,106.68,281,306,91.83,36,36,100
174,9,Turen,2020,SD,10843,12070,12077,111.38,111.32,390,415,93.98,50,50,100
175,10,Gondanglegi,2020,SD,9111,9003,9111,100,98.81,184,195,94.36,26,27,96.3
176,11,Kalipare,2020,SD,5479,5558,5563,101.53,101.44,291,307,94.79,42,42,100
177,12,Sumberpucung,2020,SD,8706,5144,8706,100,59.09,267,286,93.36,32,32,100
178,13,Kepanjen,2020,SD,10509,11289,11302,107.54,107.42,420,452,92.92,50,50,100
179,14,Bululawang,2020,SD,7581,7338,7581,100,96.79,216,227,95.15,22,23,95.65
180,15,Tajinan,2020,SD,5228,5091,5228,100,97.38,174,187,93.05,21,21,100
181,16,Tumpang,2020,SD,6742,7627,7630,113.17,113.13,245,267,91.76,34,34,100
182,17,Jabung,2020,SD,7363,7586,7588,103.06,103.03,259,274,94.53,34,34,100
183,18,Pakis,2020,SD,17264,11757,17264,100,68.1,319,336,94.94,35,35,100
184,19,Pakisaji,2020,SD,9071,8232,9071,100,90.75,274,292,93.84,32,32,100
185,20,Ngajum,2020,SD,4709,4768,4768,101.25,101.25,254,269,94.42,30,30,100
186,21,Wagir,2020,SD,8887,6497,8887,100,73.11,291,315,92.38,34,34,100
187,22,Dau,2020,SD,7027,4964,7027,100,70.64,183,194,94.33,26,26,100
188,23,Karangploso,2020,SD,8538,6676,8538,100,78.19,233,243,95.88,22,22,100
189,24,Singosari,2020,SD,18603,17032,18603,100,91.56,477,523,91.2,54,54,100
190,25,Lawang,2020,SD,11190,11336,11347,101.4,101.3,414,435,95.17,49,49,100
191,26,Pujon,2020,SD,7109,6669,7109,100,93.81,223,242,92.15,30,30,100
192,27,Ngantang,2020,SD,5284,5157,5284,100,97.6,268,289,92.73,35,35,100
193,28,Kasembon,2020,SD,3190,2831,3190,100,88.75,162,170,95.29,19,19,100
194,29,Gedangan,2020,SD,4998,5391,5393,107.9,107.86,180,183,98.36,34,34,100
195,30,Tirtoyudo,2020,SD,6157,6199,6206,100.8,100.68,295,320,92.19,36,36,100
196,31,Kromengan,2020,SD,3359,3221,3359,100,95.89,210,223,94.17,22,22,100
197,32,Wonosari,2020,SD,3869,4190,4192,108.35,108.3,242,263,92.02,31,31,100
198,33,Pagelaran,2020,SD,6939,6656,6939,100,95.92,212,218,97.25,19,19,100
199,1,Donomulyo,2021,SD,5644,5644,6481,114.83,117.52,299,314,95.22,45,45,100
200,2,Pagak,2021,SD,4720,4720,5902,125.04,163.14,214,226,94.69,30,30,100
201,3,Bantur,2021,SD,7052,7052,7108,100.79,99.9,303,327,92.66,35,37,94.59
202,4,Sumbermanjing Wetan,2021,SD,9657,9657,8928,92.45,69.17,381,422,90.28,51,51,100
203,5,Dampit,2021,SD,11128,11128,10836,97.38,93.57,390,414,94.2,50,50,100
204,6,Ampelgading,2021,SD,5369,5369,6386,118.94,89.53,218,239,91.21,30,30,100
205,7,Poncokusumo,2021,SD,8953,8953,6952,77.65,76.67,299,317,94.32,40,41,100
206,8,Wajak,2021,SD,8286,8286,6904,83.32,81.5,256,277,92.42,36,36,100
207,9,Turen,2021,SD,12008,12008,11490,95.69,60.91,427,450,94.89,48,50,96
208,10,Gondanglegi,2021,SD,8840,8840,14210,160.75,92.71,251,268,93.66,26,28,92.86
209,11,Kalipare,2021,SD,5954,5954,7601,127.66,94.78,278,303,91.75,42,42,100
210,12,Sumberpucung,2021,SD,5238,5238,8983,171.5,127.28,264,284,92.96,32,33,96.97
211,13,Kepanjen,2021,SD,2860,2860,13648,477.2,391.82,453,485,93.4,49,50,98
212,14,Bululawang,2021,SD,6914,6914,14673,212.22,135.03,178,191,93.19,22,24,91.67
213,15,Tajinan,2021,SD,5354,5354,6695,125.05,122.94,163,172,94.77,21,21,100
214,16,Tumpang,2021,SD,7308,7308,9432,129.06,103.64,244,273,89.38,34,34,100
215,17,Jabung,2021,SD,7274,7274,6816,93.7,92.8,220,240,91.67,34,34,100
216,18,Pakis,2021,SD,14761,14761,7545,51.11,62.59,298,319,93.42,35,35,100
217,19,Pakisaji,2021,SD,9002,9002,8429,93.63,73.92,267,280,95.36,32,32,100
218,20,Ngajum,2021,SD,5118,5118,7675,149.96,150.55,204,231,88.31,30,30,100
219,21,Wagir,2021,SD,8443,8443,6022,71.33,92.76,283,302,93.71,34,34,100
220,22,Dau,2021,SD,6194,6194,6224,100.48,98.66,232,260,89.23,25,27,92.59
221,23,Karangploso,2021,SD,8006,8006,6507,81.28,69.04,197,210,93.81,22,23,95.65
222,24,Singosari,2021,SD,17426,17426,16823,96.54,81.84,540,574,94.08,54,54,100
223,25,Lawang,2021,SD,10720,10720,11753,109.64,106.05,429,473,90.7,48,49,97.96
224,26,Pujon,2021,SD,6969,6969,6638,95.25,67,241,259,93.05,30,30,100
225,27,Ngantang,2021,SD,5249,5249,6387,121.68,121.13,241,259,93.05,35,35,100
226,28,Kasembon,2021,SD,2861,2861,5857,204.72,159.11,119,131,90.84,19,19,100
227,29,Gedangan,2021,SD,5298,5298,6298,118.88,92.56,265,289,91.7,34,34,100
228,30,Tirtoyudo,2021,SD,6298,6298,7407,117.61,89.31,259,299,86.62,36,36,100
229,31,Kromengan,2021,SD,3726,3726,6766,181.59,183.57,202,214,94.39,22,22,100
230,32,Wonosari,2021,SD,4062,4062,7721,190.08,191.29,219,239,91.63,31,31,100
231,33,Pagelaran,2021,SD,7208,7208,5071,70.35,96.2,197,207,95.17,19,19,100
232,1,Donomulyo,2022,SD,5644,4233,4233,112.74,112.74,297,319,93.1,45,45,100
233,2,Pagak,2022,SD,4720,3700,3700,118.89,118.89,206,218,94.5,30,30,100
234,3,Bantur,2022,SD,7052,4845,4845,104.6,104.6,302,319,94.67,36,37,97.3
235,4,Sumbermanjing Wetan,2022,SD,9657,6480,6480,100.92,100.92,367,426,86.15,51,51,100
236,5,Dampit,2022,SD,11128,8413,8413,103.18,103.18,394,427,92.27,50,50,100
237,6,Ampelgading,2022,SD,5369,4107,4107,116.45,116.45,215,232,92.67,30,30,100
238,7,Poncokusumo,2022,SD,8953,4664,4664,77.71,77.71,287,308,93.18,40,41,97.56
239,8,Wajak,2022,SD,8286,4653,4653,80.99,80.99,256,271,94.46,36,36,100
240,9,Turen,2022,SD,12008,7114,7114,89.86,89.86,408,431,94.66,49,50,98
241,10,Gondanglegi,2022,SD,8840,4196,4196,72.12,72.12,243,268,90.67,27,29,93.1
242,11,Kalipare,2022,SD,5954,3443,3443,87.71,87.71,275,295,93.22,42,42,100
