Kecamatan_ID,Kecamatan_Name,Region
1,Donomulyo,Selatan
2,Pagak,Selatan
3,Bantur,Selatan
4,Sumbermanjing Wetan,Selatan
5,Dampit,Selatan
6,Ampelgading,Selatan
7,Poncokusumo,Timur
8,Wajak,Selatan
9,Turen,Selatan
10,Gondanglegi,Selatan
11,Kalipare,Selatan
12,Sumberpucung,Selatan
13,Kepanjen,Tengah
14,Bululawang,Tengah
15,Tajinan,Tengah
16,Tumpang,Timur
17,Jabung,Timur
18,Pakis,Timur
19,Pakisaji,Tengah
20,Ngajum,Tengah
21,Wagir,Tengah
22,Dau,Utara
23,Karangploso,Utara
24,Singosari,Utara
25,Lawang,Utara
26,Pujon,Utara
27,Ngantang,Utara
28,Kasembon,Utara
29,Gedangan,Timur
30,Tirtoyudo,Selatan
31,Kromengan,Tengah
32,Wonosari,Selatan
33,Pagelaran,Selatan