Bulan,Tahun,Kelompok_Usia,Jumlah_Kasus
Januari,2020,19-24,0
Februari,2020,19-24,0
Maret,2020,19-24,0
April,2020,19-24,1
Mei,2020,19-24,1
Juni,2020,19-24,0
Juli,2020,19-24,1
Agustus,2020,19-24,0
September,2020,19-24,2
Oktober,2020,19-24,0
November,2020,19-24,1
Desember,2020,19-24,2
Total,2020,19-24,8
Januari,2020,25-44,4
Februari,2020,25-44,0
Maret,2020,25-44,1
April,2020,25-44,3
Mei,2020,25-44,1
Juni,2020,25-44,2
Juli,2020,25-44,3
Agustus,2020,25-44,2
September,2020,25-44,2
Oktober,2020,25-44,0
November,2020,25-44,1
Desember,2020,25-44,0
Total,2020,25-44,19
Januari,2020,45+,1
Februari,2020,45+,0
Maret,2020,45+,0
April,2020,45+,0
Mei,2020,45+,1
Juni,2020,45+,1
Juli,2020,45+,0
Agustus,2020,45+,0
September,2020,45+,0
Oktober,2020,45+,1
November,2020,45+,0
Desember,2020,45+,0
Total,2020,45+,4
Januari,2021,19-24,0
Februari,2021,19-24,0
Maret,2021,19-24,1
April,2021,19-24,0
Mei,2021,19-24,0
Juni,2021,19-24,1
Juli,2021,19-24,1
Agustus,2021,19-24,0
September,2021,19-24,0
Oktober,2021,19-24,0
November,2021,19-24,6
Desember,2021,19-24,2
Total,2021,19-24,11
Januari,2021,25-44,0
Februari,2021,25-44,3
Maret,2021,25-44,1
April,2021,25-44,3
Mei,2021,25-44,1
Juni,2021,25-44,4
Juli,2021,25-44,4
Agustus,2021,25-44,0
September,2021,25-44,1
Oktober,2021,25-44,1
November,2021,25-44,1
Desember,2021,25-44,3
Total,2021,25-44,22
Januari,2021,45+,1
Februari,2021,45+,0
Maret,2021,45+,0
April,2021,45+,1
Mei,2021,45+,0
Juni,2021,45+,0
Juli,2021,45+,0
Agustus,2021,45+,0
September,2021,45+,0
Oktober,2021,45+,0
November,2021,45+,0
Desember,2021,45+,1
Total,2021,45+,3
Januari,2022,19-24,2
Februari,2022,19-24,1
Maret,2022,19-24,2
April,2022,19-24,4
Mei,2022,19-24,1
Juni,2022,19-24,3
Juli,2022,19-24,0
Agustus,2022,19-24,1
September,2022,19-24,2
Oktober,2022,19-24,0
November,2022,19-24,1
Desember,2022,19-24,1
Total,2022,19-24,18
Januari,2022,25-44,2
Februari,2022,25-44,1
Maret,2022,25-44,4
April,2022,25-44,1
Mei,2022,25-44,1
Juni,2022,25-44,2
Juli,2022,25-44,0
Agustus,2022,25-44,1
September,2022,25-44,2
Oktober,2022,25-44,5
November,2022,25-44,0
Desember,2022,25-44,5
Total,2022,25-44,24
Januari,2022,45+,0
Februari,2022,45+,0
Maret,2022,45+,1
April,2022,45+,0
Mei,2022,45+,0
Juni,2022,45+,0
Juli,2022,45+,0
Agustus,2022,45+,0
September,2022,45+,0
Oktober,2022,45+,0
November,2022,45+,0
Desember,2022,45+,0
Total,2022,45+,1
Januari,2023,19-24,3
Februari,2023,19-24,4
Maret,2023,19-24,3
April,2023,19-24,0
Mei,2023,19-24,1
Juni,2023,19-24,1
Juli,2023,19-24,2
Agustus,2023,19-24,0
September,2023,19-24,2
Oktober,2023,19-24,0
November,2023,19-24,1
Desember,2023,19-24,1
Total,2023,19-24,18
Januari,2023,25-44,0
Februari,2023,25-44,2
Maret,2023,25-44,5
April,2023,25-44,2
Mei,2023,25-44,1
Juni,2023,25-44,0
Juli,2023,25-44,2
Agustus,2023,25-44,0
September,2023,25-44,4
Oktober,2023,25-44,0
November,2023,25-44,2
Desember,2023,25-44,0
Total,2023,25-44,18
Januari,2023,45+,1
Februari,2023,45+,0
Maret,2023,45+,2
April,2023,45+,0
Mei,2023,45+,0
Juni,2023,45+,1
Juli,2023,45+,1
Agustus,2023,45+,0
September,2023,45+,0
Oktober,2023,45+,1
November,2023,45+,1
Desember,2023,45+,0
Total,2023,45+,7
Januari,2024,19-24,7
Februari,2024,19-24,1
Maret,2024,19-24,1
April,2024,19-24,1
Mei,2024,19-24,0
Juni,2024,19-24,3
Juli,2024,19-24,2
Agustus,2024,19-24,0
September,2024,19-24,0
Oktober,2024,19-24,3
November,2024,19-24,0
Desember,2024,19-24,1
Total,2024,19-24,19
Januari,2024,25-44,8
Februari,2024,25-44,3
Maret,2024,25-44,5
April,2024,25-44,3
Mei,2024,25-44,1
Juni,2024,25-44,0
Juli,2024,25-44,5
Agustus,2024,25-44,1
September,2024,25-44,4
Oktober,2024,25-44,4
November,2024,25-44,2
Desember,2024,25-44,0
Total,2024,25-44,36
Januari,2024,45+,0
Februari,2024,45+,0
Maret,2024,45+,0
April,2024,45+,0
Mei,2024,45+,0
Juni,2024,45+,0
Juli,2024,45+,1
Agustus,2024,45+,1
September,2024,45+,1
Oktober,2024,45+,1
November,2024,45+,0
Desember,2024,45+,0
Total,2024,45+,4